audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
b777d3bb-ca47-49a3-96bd-63bf944a509d,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-28T09:23:49.838476,icmp_ping,Failed,"{'packets_sent': 4, 'packets_received': 0, 'packet_loss_percent': 100.0, 'error': 'Unknown error'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
b777d3bb-ca47-49a3-96bd-63bf944a509d,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-28T09:23:49.838476,tcp_ports,Failed,"{'ports_checked': 4, 'ports_open': 0, 'open_ports': []}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
b777d3bb-ca47-49a3-96bd-63bf944a509d,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-28T09:23:49.838476,dns_resolution,Failed,"{'hostname': 'RTR-BRANCH-04.xrnet.net', 'resolved_ip': None, 'matches_expected': False, 'error': '[Errno -5] No address associated with hostname'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
81f628cd-62f6-40d6-a51e-e79299187022,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-28T09:23:49.838808,icmp_ping,Failed,"{'packets_sent': 4, 'packets_received': 0, 'packet_loss_percent': 100.0, 'error': 'Unknown error'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
81f628cd-62f6-40d6-a51e-e79299187022,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-28T09:23:49.838808,tcp_ports,Failed,"{'ports_checked': 4, 'ports_open': 0, 'open_ports': []}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
81f628cd-62f6-40d6-a51e-e79299187022,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-28T09:23:49.838808,dns_resolution,Failed,"{'hostname': 'RTR-BRANCH-06.xrnet.net', 'resolved_ip': None, 'matches_expected': False, 'error': '[Errno -5] No address associated with hostname'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
03410dd6-7788-4fc0-a844-dd704f7022d5,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-28T09:23:49.840958,icmp_ping,Failed,"{'packets_sent': 4, 'packets_received': 0, 'packet_loss_percent': 100.0, 'error': 'Unknown error'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
03410dd6-7788-4fc0-a844-dd704f7022d5,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-28T09:23:49.840958,tcp_ports,Failed,"{'ports_checked': 4, 'ports_open': 0, 'open_ports': []}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
03410dd6-7788-4fc0-a844-dd704f7022d5,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-28T09:23:49.840958,dns_resolution,Failed,"{'hostname': 'RTR-BRANCH-05.xrnet.net', 'resolved_ip': None, 'matches_expected': False, 'error': '[Errno -5] No address associated with hostname'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
2f4b7633-c537-4021-83bb-6084099bd9c1,RTR-BRANCH-03.xrnet.net,172.16.39.102,connectivity,2025-05-28T09:23:49.829266,icmp_ping,Failed,"{'packets_sent': 4, 'packets_received': 0, 'packet_loss_percent': 100.0, 'error': 'Unknown error'}",Device is not responding to ICMP ping. Check firewall settings or device status.; No open TCP ports found. Verify device is operational and accessible.
