audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
a441985d-c649-4a7e-a111-368a5af47790,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T14:05:09.715179,connectivity,Failed,"{'method': 'ICMP ping (simulated)', 'response_time_ms': None}",
a441985d-c649-4a7e-a111-368a5af47790,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T14:05:09.715179,authentication,Skipped,{},
a441985d-c649-4a7e-a111-368a5af47790,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T14:05:09.715179,config_audit,Skipped,{},
a441985d-c649-4a7e-a111-368a5af47790,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T14:05:09.715179,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 0}",
a441985d-c649-4a7e-a111-368a5af47790,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T14:05:09.715179,reporting,Success,"{'report_type': 'security', 'findings_count': 0, 'recommendations_count': 0}",
5a9aca44-bd88-40fa-a40f-30c484aa3982,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T14:05:09.716057,connectivity,Success,"{'method': 'ICMP ping (simulated)', 'response_time_ms': 15.7}",Implement regular security audits and monitoring
5a9aca44-bd88-40fa-a40f-30c484aa3982,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T14:05:09.716057,authentication,Success,"{'method': 'SSH authentication (simulated)', 'protocol': 'SSH', 'username': 'admin'}",Implement regular security audits and monitoring
5a9aca44-bd88-40fa-a40f-30c484aa3982,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T14:05:09.716057,config_audit,Success,"{'commands_executed': ['show running-config', 'show interfaces', 'show version'], 'config_size_bytes': 291}",Implement regular security audits and monitoring
5a9aca44-bd88-40fa-a40f-30c484aa3982,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T14:05:09.716057,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 0}",Implement regular security audits and monitoring
5a9aca44-bd88-40fa-a40f-30c484aa3982,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T14:05:09.716057,reporting,Success,"{'report_type': 'security', 'findings_count': 0, 'recommendations_count': 1}",Implement regular security audits and monitoring
4496ef20-68c7-4547-b2f6-2891b6087177,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T14:05:09.716830,connectivity,Success,"{'method': 'ICMP ping (simulated)', 'response_time_ms': 15.7}",Implement regular security audits and monitoring
4496ef20-68c7-4547-b2f6-2891b6087177,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T14:05:09.716830,authentication,Success,"{'method': 'SSH authentication (simulated)', 'protocol': 'SSH', 'username': 'admin'}",Implement regular security audits and monitoring
4496ef20-68c7-4547-b2f6-2891b6087177,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T14:05:09.716830,config_audit,Success,"{'commands_executed': ['show running-config', 'show interfaces', 'show version'], 'config_size_bytes': 295}",Implement regular security audits and monitoring
4496ef20-68c7-4547-b2f6-2891b6087177,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T14:05:09.716830,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 0}",Implement regular security audits and monitoring
4496ef20-68c7-4547-b2f6-2891b6087177,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T14:05:09.716830,reporting,Success,"{'report_type': 'security', 'findings_count': 0, 'recommendations_count': 1}",Implement regular security audits and monitoring
94f002cb-d183-47a0-a1d8-fcfddfa9fd01,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T14:05:09.717430,connectivity,Success,"{'method': 'ICMP ping (simulated)', 'response_time_ms': 15.7}",Implement regular security audits and monitoring
94f002cb-d183-47a0-a1d8-fcfddfa9fd01,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T14:05:09.717430,authentication,Success,"{'method': 'SSH authentication (simulated)', 'protocol': 'SSH', 'username': 'admin'}",Implement regular security audits and monitoring
94f002cb-d183-47a0-a1d8-fcfddfa9fd01,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T14:05:09.717430,config_audit,Success,"{'commands_executed': ['show running-config', 'show interfaces', 'show version'], 'config_size_bytes': 295}",Implement regular security audits and monitoring
94f002cb-d183-47a0-a1d8-fcfddfa9fd01,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T14:05:09.717430,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 0}",Implement regular security audits and monitoring
94f002cb-d183-47a0-a1d8-fcfddfa9fd01,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T14:05:09.717430,reporting,Success,"{'report_type': 'security', 'findings_count': 0, 'recommendations_count': 1}",Implement regular security audits and monitoring
