audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
01ae8e85-998e-4e2d-91c9-a30a307cd088,RTR-BRANCH-03.xrnet.net,172.16.39.102,connectivity,2025-05-27T21:19:32.558585,icmp_ping,Success,"{'packets_sent': 4, 'packets_received': 4, 'packet_loss_percent': 0, 'rtt_min_ms': 10.2, 'rtt_avg_ms': 15.7, 'rtt_max_ms': 22.3, 'ttl': 64}",
01ae8e85-998e-4e2d-91c9-a30a307cd088,RTR-BRANCH-03.xrnet.net,172.16.39.102,connectivity,2025-05-27T21:19:32.558585,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",
01ae8e85-998e-4e2d-91c9-a30a307cd088,RTR-BRANCH-03.xrnet.net,172.16.39.102,connectivity,2025-05-27T21:19:32.558585,dns_resolution,Success,"{'hostname': 'RTR-BRANCH-03.xrnet.net', 'resolved_ip': '172.16.39.102', 'matches_expected': True}",
11d46e2d-3df6-4d5e-abf4-29c6c66405ea,RTR-CORE-01.xrnet.net,172.16.39.100,connectivity,2025-05-27T21:19:32.555733,icmp_ping,Failed,"{'packets_sent': 4, 'packets_received': 0, 'packet_loss_percent': 100, 'error': 'Unknown error'}",Device is not responding to ICMP ping. Check firewall settings or device status.
11d46e2d-3df6-4d5e-abf4-29c6c66405ea,RTR-CORE-01.xrnet.net,172.16.39.100,connectivity,2025-05-27T21:19:32.555733,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",Device is not responding to ICMP ping. Check firewall settings or device status.
11d46e2d-3df6-4d5e-abf4-29c6c66405ea,RTR-CORE-01.xrnet.net,172.16.39.100,connectivity,2025-05-27T21:19:32.555733,dns_resolution,Success,"{'hostname': 'RTR-CORE-01.xrnet.net', 'resolved_ip': '172.16.39.100', 'matches_expected': True}",Device is not responding to ICMP ping. Check firewall settings or device status.
9b6fd65e-ac30-4497-a856-cfe48ae55b7a,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-27T21:19:32.561325,icmp_ping,Success,"{'packets_sent': 4, 'packets_received': 4, 'packet_loss_percent': 0, 'rtt_min_ms': 10.2, 'rtt_avg_ms': 15.7, 'rtt_max_ms': 22.3, 'ttl': 64}",
9b6fd65e-ac30-4497-a856-cfe48ae55b7a,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-27T21:19:32.561325,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",
9b6fd65e-ac30-4497-a856-cfe48ae55b7a,RTR-BRANCH-05.xrnet.net,172.16.39.104,connectivity,2025-05-27T21:19:32.561325,dns_resolution,Success,"{'hostname': 'RTR-BRANCH-05.xrnet.net', 'resolved_ip': '172.16.39.104', 'matches_expected': True}",
5f45abee-dafd-4450-a67e-42d676864777,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-27T21:19:32.563510,icmp_ping,Success,"{'packets_sent': 4, 'packets_received': 4, 'packet_loss_percent': 0, 'rtt_min_ms': 10.2, 'rtt_avg_ms': 15.7, 'rtt_max_ms': 22.3, 'ttl': 64}",
5f45abee-dafd-4450-a67e-42d676864777,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-27T21:19:32.563510,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",
5f45abee-dafd-4450-a67e-42d676864777,RTR-BRANCH-06.xrnet.net,172.16.39.105,connectivity,2025-05-27T21:19:32.563510,dns_resolution,Success,"{'hostname': 'RTR-BRANCH-06.xrnet.net', 'resolved_ip': '172.16.39.105', 'matches_expected': True}",
566f1f3b-58cf-4231-a3d7-36bfb7f6daaf,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-27T21:19:32.562218,icmp_ping,Success,"{'packets_sent': 4, 'packets_received': 4, 'packet_loss_percent': 0, 'rtt_min_ms': 10.2, 'rtt_avg_ms': 15.7, 'rtt_max_ms': 22.3, 'ttl': 64}",
566f1f3b-58cf-4231-a3d7-36bfb7f6daaf,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-27T21:19:32.562218,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",
566f1f3b-58cf-4231-a3d7-36bfb7f6daaf,RTR-BRANCH-04.xrnet.net,172.16.39.103,connectivity,2025-05-27T21:19:32.562218,dns_resolution,Success,"{'hostname': 'RTR-BRANCH-04.xrnet.net', 'resolved_ip': '172.16.39.103', 'matches_expected': True}",
43e1ea94-ce15-4ba4-b2a0-0bd4a903f500,RTR-EDGE-02.xrnet.net,172.16.39.101,connectivity,2025-05-27T21:19:32.561497,icmp_ping,Success,"{'packets_sent': 4, 'packets_received': 4, 'packet_loss_percent': 0, 'rtt_min_ms': 10.2, 'rtt_avg_ms': 15.7, 'rtt_max_ms': 22.3, 'ttl': 64}",
43e1ea94-ce15-4ba4-b2a0-0bd4a903f500,RTR-EDGE-02.xrnet.net,172.16.39.101,connectivity,2025-05-27T21:19:32.561497,tcp_ports,Success,"{'ports_checked': 4, 'ports_open': 3, 'open_ports': [22, 80, 443]}",
43e1ea94-ce15-4ba4-b2a0-0bd4a903f500,RTR-EDGE-02.xrnet.net,172.16.39.101,connectivity,2025-05-27T21:19:32.561497,dns_resolution,Success,"{'hostname': 'RTR-EDGE-02.xrnet.net', 'resolved_ip': '172.16.39.101', 'matches_expected': True}",
