audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
4950264c-4b35-4dc9-a056-4bff53e1a5be,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T06:49:51.995369,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4950264c-4b35-4dc9-a056-4bff53e1a5be,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T06:49:51.995369,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4950264c-4b35-4dc9-a056-4bff53e1a5be,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T06:49:51.995369,config_audit,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4950264c-4b35-4dc9-a056-4bff53e1a5be,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T06:49:51.995369,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4950264c-4b35-4dc9-a056-4bff53e1a5be,RTR-CORE-01.xrnet.net,172.16.39.100,security,2025-05-28T06:49:51.995369,reporting,Success,"{'report_type': 'security', 'findings_count': 4, 'recommendations_count': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
0a383afc-2879-414a-9f8a-2ebcbd546837,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T06:49:57.066415,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
0a383afc-2879-414a-9f8a-2ebcbd546837,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T06:49:57.066415,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
0a383afc-2879-414a-9f8a-2ebcbd546837,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T06:49:57.066415,config_audit,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
0a383afc-2879-414a-9f8a-2ebcbd546837,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T06:49:57.066415,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
0a383afc-2879-414a-9f8a-2ebcbd546837,RTR-EDGE-02.xrnet.net,172.16.39.101,security,2025-05-28T06:49:57.066415,reporting,Success,"{'report_type': 'security', 'findings_count': 4, 'recommendations_count': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4b1c06e2-a593-44af-bdaa-fba5736bb0a5,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T06:50:02.151457,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4b1c06e2-a593-44af-bdaa-fba5736bb0a5,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T06:50:02.151457,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4b1c06e2-a593-44af-bdaa-fba5736bb0a5,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T06:50:02.151457,config_audit,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4b1c06e2-a593-44af-bdaa-fba5736bb0a5,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T06:50:02.151457,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
4b1c06e2-a593-44af-bdaa-fba5736bb0a5,RTR-BRANCH-03.xrnet.net,172.16.39.102,security,2025-05-28T06:50:02.151457,reporting,Success,"{'report_type': 'security', 'findings_count': 4, 'recommendations_count': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
8f8bcd59-1ef0-4088-b8d2-5730a4277bce,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T06:50:07.207540,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
8f8bcd59-1ef0-4088-b8d2-5730a4277bce,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T06:50:07.207540,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
8f8bcd59-1ef0-4088-b8d2-5730a4277bce,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T06:50:07.207540,config_audit,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
8f8bcd59-1ef0-4088-b8d2-5730a4277bce,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T06:50:07.207540,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
8f8bcd59-1ef0-4088-b8d2-5730a4277bce,RTR-BRANCH-04.xrnet.net,172.16.39.103,security,2025-05-28T06:50:07.207540,reporting,Success,"{'report_type': 'security', 'findings_count': 4, 'recommendations_count': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
708045f5-18aa-490b-af53-097ad06da94c,RTR-BRANCH-05.xrnet.net,172.16.39.104,security,2025-05-28T06:50:12.263766,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
708045f5-18aa-490b-af53-097ad06da94c,RTR-BRANCH-05.xrnet.net,172.16.39.104,security,2025-05-28T06:50:12.263766,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
708045f5-18aa-490b-af53-097ad06da94c,RTR-BRANCH-05.xrnet.net,172.16.39.104,security,2025-05-28T06:50:12.263766,config_audit,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
708045f5-18aa-490b-af53-097ad06da94c,RTR-BRANCH-05.xrnet.net,172.16.39.104,security,2025-05-28T06:50:12.263766,risk_assessment,Success,"{'checks_performed': ['telnet_enabled', 'weak_passwords', 'unused_accounts', 'insecure_services', 'unsecured_interfaces'], 'issues_found': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
708045f5-18aa-490b-af53-097ad06da94c,RTR-BRANCH-05.xrnet.net,172.16.39.104,security,2025-05-28T06:50:12.263766,reporting,Success,"{'report_type': 'security', 'findings_count': 4, 'recommendations_count': 4}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
b19c9b49-cbba-4f0f-bd10-e6ee84758b84,RTR-BRANCH-06.xrnet.net,172.16.39.105,security,2025-05-28T06:50:17.319308,connectivity,Failed,"{'method': 'ICMP ping', 'response_time_ms': None}",Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
b19c9b49-cbba-4f0f-bd10-e6ee84758b84,RTR-BRANCH-06.xrnet.net,172.16.39.105,security,2025-05-28T06:50:17.319308,authentication,Skipped,{},Disable Telnet and use SSH with strong authentication; Implement strong password policy with minimum complexity requirements; Remove unused accounts to reduce attack surface; Disable unnecessary services to reduce attack surface
